Year_date,awardeeCounty,Column,awardAgencyCode,day_date,estimatedTotalAmt,expDate 1,expDate 2,expDate 3,fundAgencyCode,fundsObligatedAmt,month_date,parentDunsNumber,poPhone
1986,Los Angeles,0.0,4900.0,22.0,302006.0,2.0,28.0,1995.0,4900.0,,9.0,71549000.0,
1987,Ann Arbor,1.0,4900.0,24.0,57973323.0,10.0,31.0,1995.0,4900.0,,11.0,,
1987,Champaign,4.0,4900.0,29.0,311500.0,12.0,31.0,1993.0,4900.0,,6.0,41544081.0,
1987,Durham,0.0,4900.0,9.0,22768477.0,9.0,30.0,1999.0,4900.0,13189482.0,9.0,44387793.0,
1987,New York,6.0,4900.0,14.0,889964.0,9.0,30.5,1994.0,4900.0,171268.0,7.0,49179401.0,7032924715.0
1987,Princeton,6.0,4900.0,27.0,1218104.0,10.0,30.0,1993.0,4900.0,,5.0,2484665.0,7032924715.0
1987,San Juan,2.0,4900.0,23.0,267060.0,12.0,31.0,1993.0,4900.0,,12.0,90051616.0,
1987,Stony Brook,8.0,4900.0,9.0,223703.0,11.0,30.0,1995.0,4900.0,,7.0,20657151.0,
1987,Tempe,5.0,4900.0,26.0,142500.0,11.0,30.0,1993.0,4900.0,,6.0,806345658.0,
1988,Albuquerque,35.0,4900.0,6.0,2546868.0,3.0,31.0,1996.0,4900.0,878454.0,10.0,784121725.0,
1988,Ames,64.0,4900.0,30.0,280712.0,12.0,31.0,1994.0,4900.0,37500.0,6.0,5309844.0,
1988,Ann Arbor,53.125,4900.0,17.125,779393.125,5.5,30.0,1994.125,4900.0,146142.375,7.875,73133571.0,7032928339.0
1988,Arlington,33.0,4900.0,12.0,1251900.0,4.0,30.0,1994.0,4900.0,300000.0,10.0,161906193.0,
1988,Atlanta,2.0,4900.0,27.0,274500.0,7.0,31.0,1995.0,4900.0,35000.0,6.0,97394084.0,
1988,Baltimore,54.0,4900.0,22.0,306200.0,7.0,31.0,1994.0,4900.0,5800.0,7.0,1910777.0,
1988,Buffalo,54.0,4900.0,26.0,406289.0,6.5,30.5,1995.0,4900.0,37500.0,7.0,20657151.0,
1988,Cambridge,35.857142857142854,4900.0,16.142857142857142,3457130.5714285714,6.571428571428571,30.714285714285715,1994.5714285714287,4900.0,398055.14285714284,8.428571428571429,1840712.857142857,
1988,Champaign,38.0,4900.0,17.5,490850.0,9.5,31.0,1993.5,4900.0,93750.0,9.0,41544081.0,
1988,Chicago,44.0,4900.0,17.666666666666668,656669.6666666666,4.666666666666667,29.666666666666668,1994.0,4900.0,108333.33333333333,8.333333333333334,5431580.666666667,
1988,College Station,27.666666666666668,4900.0,19.666666666666668,9521963.0,5.333333333333333,30.333333333333332,1997.0,4900.0,7777799.0,10.0,78592789.0,
1988,Columbus,25.0,4900.0,8.5,396348.5,3.5,30.5,1994.5,4900.0,63960.0,10.5,,
1988,Corvallis,17.0,4900.0,23.0,1021267.0,3.0,31.0,1994.0,4900.0,137654.0,11.0,53599908.0,
1988,East Lansing,48.0,4900.0,20.0,773248.0,4.0,31.0,1994.5,4900.0,74825.0,8.0,53343976.0,
1988,Eugene,55.0,4900.0,22.0,274500.0,3.0,31.0,1995.0,4900.0,100000.0,7.0,49793995.0,
1988,Fayetteville,73.0,4900.0,10.0,487584.0,4.0,30.0,1994.0,4900.0,77000.0,6.0,55600001.0,
1988,Greeley,23.0,4900.0,7.0,690083.0,10.0,30.0,1993.0,4900.0,,11.0,73410185.0,
1988,Greensboro,21.0,4900.0,9.0,959923.0,2.0,28.0,1994.0,4900.0,,11.0,142363428.0,
1988,Hadley,20.0,4900.0,14.0,206000.0,8.0,31.0,1994.0,4900.0,25000.0,11.0,79520631.0,
1988,Ithaca,57.5,4900.0,6.0,5679700.0,7.0,31.0,1995.0,4900.0,,9.0,2254837.0,
1988,Minneapolis,26.0,4900.0,5.0,14277433.5,6.5,30.0,1997.5,4900.0,8011400.0,10.5,117178941.0,
1988,New Haven,52.0,4900.0,25.0,690400.0,5.0,31.0,1995.0,4900.0,140000.0,7.0,43207562.0,
1988,New York,32.5,4900.0,17.666666666666668,4744747.0,5.333333333333333,29.833333333333332,1994.5,4900.0,850247.1666666666,8.666666666666666,52822353.0,
1988,Oxford,16.0,4900.0,30.0,154400.0,12.0,31.0,1994.0,4900.0,30000.0,11.0,41065129.0,
1988,Pasadena,40.5,4900.0,14.0,473595.0,5.5,31.0,1994.0,4900.0,104025.0,9.0,,
1988,Philadelphia,46.5,4900.0,13.0,1165849.0,9.0,30.0,1995.0,4900.0,17500.0,8.0,22427764.5,
1988,Piscataway,19.0,4900.0,18.0,416670.0,12.0,31.0,1994.0,4900.0,62040.5,8.0,1912864.0,
1988,Pittsburgh,48.0,4900.0,4.0,339000.0,7.0,31.0,1995.0,4900.0,,8.0,4514360.0,
1988,Princeton,47.0,4900.0,14.0,440543.8,7.2,30.2,1994.0,4900.0,66516.8,6.8,2484665.0,
1988,Providence,30.0,4900.0,19.0,908435.0,9.0,30.0,1994.0,4900.0,124686.0,10.0,1785542.0,
1988,Rochester,63.5,4900.0,25.0,236773.0,1.0,31.0,1996.0,4900.0,,7.0,41294109.0,
1988,Santa Barbara,12.0,4900.0,6.0,9800148.0,12.0,31.0,1997.0,4900.0,,12.0,71549000.0,
1988,Seattle,67.8,4900.0,15.0,410061.8,6.8,30.2,1994.6,4900.0,77998.0,6.6,42803536.0,
1988,Stony Brook,35.0,4900.0,19.333333333333332,313344.6666666667,11.0,30.333333333333332,1993.6666666666667,4900.0,57303.0,9.333333333333334,20657151.0,
1988,Syracuse,7.0,4900.0,16.0,840959.0,12.0,31.0,1994.0,4900.0,177000.0,12.0,2257350.0,
1988,Troy,19.0,4900.0,18.0,2015105.0,9.0,30.0,1994.0,4900.0,182533.0,11.0,2430742.0,
1988,Washington,5.0,4900.0,29.0,252987077.0,12.0,31.0,1993.0,4900.0,1170958.0,12.0,78859701.0,
1988,West Lafayette,44.666666666666664,4900.0,21.666666666666668,6853225.333333333,7.333333333333333,30.666666666666668,1995.0,4900.0,576010.6666666666,8.333333333333334,72051394.0,
1989,Albuquerque,63.5,4900.0,12.5,329076.0,3.5,30.5,1995.5,4900.0,132156.0,9.5,784121725.0,
1989,Ann Arbor,87.0,4900.0,25.0,326774.75,7.0,30.25,1994.75,4900.0,134167.5,8.25,73133571.0,
1989,Athens,220.0,4900.0,17.0,1863828.0,2.0,28.0,1995.0,4900.0,369400.0,2.0,,
1989,Atlanta,82.8,4900.0,13.2,379807.4,3.2,31.0,1995.4,4900.0,96520.0,8.2,90980302.6,
1989,Baltimore,107.6,4900.0,16.6,275558.2,7.2,31.0,1994.6,4900.0,177741.25,9.0,177516885.2,
1989,Bethesda,27.0,4900.0,21.0,427000.0,1.0,31.0,1994.0,4900.0,,11.0,,
1989,Bethlehem,203.0,4900.0,5.0,19692039.0,12.0,31.0,1997.0,4900.0,7049920.0,5.0,68570936.0,
1989,Blacksburg,106.0,4900.0,21.5,230750.0,7.5,31.0,1995.0,4900.0,81250.0,7.5,3137015.0,
1989,Boston,5.0,4900.0,21.0,1018238.0,12.0,31.0,1996.0,4900.0,,8.0,49435266.0,
1989,Boulder,134.0,4900.0,21.0,249536.0,6.0,30.0,1994.0,4900.0,,7.0,7431505.0,
1989,Brooklyn,104.0,4900.0,4.0,615100.0,8.0,31.0,1996.0,4900.0,108100.0,8.0,,
1989,COLLEGE PARK,110.85714285714286,4900.0,15.0,1188715.4285714286,7.285714285714286,30.0,1995.2857142857142,4900.0,645836.2857142857,9.714285714285714,3256088.0,
1989,Cambridge,137.46666666666667,4900.0,13.2,504794.5333333333,5.8,30.066666666666666,1994.7333333333333,4900.0,112494.30769230769,6.933333333333334,1748195.4,
1989,Champaign,84.66666666666667,4900.0,17.22222222222222,262321.6666666667,5.444444444444445,30.555555555555557,1995.3333333333333,4900.0,110403.11111111111,8.222222222222221,41544081.0,7032920000.0
1989,Chestnut Hill,126.0,4900.0,21.0,1066407.0,12.0,31.0,1993.0,4900.0,,9.0,45896339.0,
1989,Chicago,156.85714285714286,4900.0,12.285714285714286,440714.78571428574,5.857142857142857,29.642857142857142,1994.2857142857142,4900.0,107497.14285714286,4.571428571428571,15746453.714285715,
1989,Cincinnati,107.0,4900.0,21.0,387000.0,11.0,30.0,1995.0,4900.0,92000.0,11.0,41064767.0,
1989,Cleveland,114.0,4900.0,2.0,262500.0,7.0,31.0,1994.0,4900.0,69000.0,8.0,77758407.0,
1989,College Station,136.5,4900.0,14.5,239703.0,9.5,31.0,1994.5,4900.0,81250.0,7.0,78592789.0,
1989,Columbus,210.0,4900.0,9.5,8352901.5,4.5,30.5,1996.5,4900.0,3796869.0,4.0,,7032925357.0
1989,Corvallis,56.5,4900.0,6.0,555000.0,6.5,29.5,1995.0,4900.0,176500.0,10.0,53599908.0,
1989,Crested Butte,115.0,4900.0,23.0,164020.0,3.0,31.0,1994.0,4900.0,40021.0,10.0,,
1989,Denver,123.0,4900.0,27.0,242343.0,3.0,31.0,1994.0,4900.0,11655.0,7.0,7431760.0,
1989,Durham,210.0,4900.0,6.0,626898.0,3.0,31.0,1995.0,4900.0,156223.0,4.0,44387793.0,
